Concepticon_ID_x,Concepticon_ID_y,clics_form_x,clics_form_y,cosine_similarity
692,525,bring,artery,0.0044666845
474,2468,womansdress,baeg,0.2970354
1200,522,husband,worry,0.14816982
326,1401,cloak,drink,0.09595397
615,1172,horse,shoot,0.1564691
1201,1488,feather,tap,0.15157554
1942,1431,ni@,freeze,-0.1266147
852,629,priest,leather,0.13775697
1945,789,fig@,populace,0.0070100757
360,672,fan,early,0.07068853
354,1381,poundwithfist,shoe,0.10806959
1940,963,gad,book,0.09376239
1566,1383,gun,graendfad@,0.01191961
1745,2915,hip,aetfest,0.0067579662
1558,1932,like,guess,0.47785276
854,1991,ketl,guts,-0.011233811
650,116,petroleum,larch,0.098931745
1192,1895,threaten,clothing,0.05256041
1456,1464,thr@u,ladder,0.083581895
1881,1200,enough,hzb@nd,0.035371117
7,1942,gather,near,0.19398065
616,1576,hospital,pileup,0.17790325
1187,1614,goose,smit,0.07460685
355,2003,cutdown,flow,0.052929595
171,906,motherssister,tree,0.088037945
1443,1326,wok,daun,0.35918242
1113,1404,wrap,straight,0.19199459
155,621,chop,ai@n,-0.012253972
176,629,bl@u,led@,-0.0004267362
1439,332,swim,handkerchief,0.14751923
1452,2009,shove,dog,0.122316666
1694,155,wednesday,chop,0.08697804
613,406,hightide,oldman,0.28518045
956,1679,flee,l@ud,0.17826958
1066,295,crime,whetstone,0.060874026
2891,1567,taip,door,-0.017244479
1272,1075,ant,traep,0.0569917
1909,1010,shake,boundary,0.042951424
1267,1240,narrow,nat,0.021170754
2866,1021,drop,towel,0.25251245
1182,1463,noiz,drunk,0.014212906
3154,1034,wildboar,defendant,0.008245902
1347,1358,neip,en@mi,0.10552961
2989,1182,frindz,noiz,0.21766742
1704,409,sevn,forkedbranch,0.2371156
2867,1239,kaelkjuleit,how,0.056512363
1329,2853,tomorrow,akt@ub@,0.10461458
1153,1730,neat,cheek,0.0797959
292,1519,carpet,run,0.14741237
722,230,attack,sweep,0.24339981
1258,621,fingg@neil,ai@n,0.027015971
73,1033,beak,crush,0.15429895
42,1426,badsmelling,expensive,0.14334817
1779,2254,dare,fatherinlaw,0.07503166
1531,336,lim,padlock,0.041069135
3309,666,hit,brook,0.04087417
2875,963,ring,book,0.12407797
617,2886,ice,pr@djus,0.09260624
1358,2157,enemy,delik@t,0.053638183
1426,3235,di@,@up@n,0.14962748
249,728,fog,fest,0.12949
671,388,saend,fishnet,0.15511304
2132,1169,sickle,ox,0.18000455
416,1044,outrigger,pil@u,0.012630372
1853,2947,dove,daemidz,-0.03172844
2030,1211,draeg,hi,0.044217624
1785,1423,havesexualintercourse,fight,-0.013234664
579,7,war,gaed@,-0.03717322
676,234,defecate,o,0.029963097
2946,215,kreidl,liedown,0.16632798
981,1228,elbow,ground,0.25784543
412,474,carryinhand,womansdress,0.38001838
1141,1498,pity,two,0.09806626
1624,628,empty,leaf,0.12071023
1454,1603,wipe,mosque,0.00068992947
190,931,mow,millet,0.13565078
344,2190,treetrunk,fleiv@,0.059349556
322,395,fig,pill,0.14931577
717,249,sweet,fog,0.1490635
2949,1333,le@,neck,0.07481466
977,1234,aer@u,smooth,0.027581653
1641,1211,silk,hi,0.12745187
332,3457,handkerchief,headband,0.38031438
2007,729,lightningbolt,dawn,0.18434365
3055,765,tsit,move,0.02296931
1463,1805,drunk,injection,0.036916588
406,1976,oldman,meri,0.17970246
2132,2686,scythe,shrimp,0.12579945
1791,3237,butterfly,let,0.042292506
1921,134,plow,folt,0.13394284
1256,1090,head,born,0.09136366
677,1723,halberd,tenaut,0.093628876
963,1875,book,besorry,-0.015815757
1300,681,kntri,distroi,0.31489798
1611,3182,invait,wedding,0.08154884
644,1692,oak,fraidi,0.08994147
1325,721,companion,bil@u,-0.016062714
1046,3154,close,boar,0.040417038
2901,1126,swing,citrusfruit,0.06404295
1337,761,pig,cover,0.07331296
1760,1186,youngerbrother,tolast,0.084967196
1518,2024,foolish,plot,0.07571747
1574,378,float,pinch,0.11743115
204,1337,again,swine,0.041246958
1767,43,scrape,lead,0.112678155
1248,1649,eye,sitdaun,0.0065648328
1711,857,tell,crag,0.019413546
1644,2133,relatives,strike,0.0512799
629,883,leather,termite,0.10585731
323,705,smear,raiz,0.104958355
1675,176,promise,bl@u,-0.10858034
952,1228,wed@,ground,0.031556584
2890,966,g@ufo@wok,brake,0.1121916
2017,1498,mix,two,0.21215639
1973,1976,devil,meri,0.06532259
1136,1236,coney,what,0.062349137
748,1337,sow,pig,0.38561612
611,716,harvest,groan,0.13426925
200,1318,same,tsikin,0.127554
1535,784,falchion,sn@u,0.07731955
1830,745,krein,shelf,0.10587686
1349,662,church,battery,0.06368644
36,2146,pubichair,fry,0.07246293
1337,1419,pig,bi@freid,0.15981483
1984,365,mothersbrother,splash,-0.0050897836
1959,321,raw,chew,0.22408582
991,197,frai,d@,0.0
