Concepticon_ID_x,Concepticon_ID_y,clics_form_x,clics_form_y,cosine_similarity
499,24,lumunas,dasal,0.26922536
499,1773,lumunas,libingan,0.20281892
499,1973,lumunas,demonyo,0.21133317
499,1175,lumunas,multo,0.14752342
499,1252,lumunas,bahay,0.26161727
499,930,lumunas,nayon,0.1611857
499,1669,lumunas,nuno,0.19446313
499,823,lumunas,mangkukulam,0.27166426
499,1343,lumunas,araw,0.25527042
499,1313,lumunas,buwan,0.16024655
499,1430,lumunas,bituwin,0.16589801
499,1793,lumunas,kabag,0.33839393
499,937,lumunas,ibon,0.2468454
499,1490,lumunas,daga,0.19450487
499,2348,lumunas,alimango,0.24968156
499,1350,lumunas,matsing,0.18208252
499,862,lumunas,asukal,0.21989854
499,2769,lumunas,karnengbaboy,0.40269354
499,665,lumunas,pukyutan,0.26123938
499,1100,lumunas,lutu,0.2369919
499,1261,lumunas,awit,0.19251794
499,1435,lumunas,maghanap,0.32202786
499,354,lumunas,bayo,0.19644935
499,926,lumunas,bigas,0.2819675
499,1191,lumunas,kanin,0.29018056
499,748,lumunas,hasik,0.21829306
499,146,lumunas,tubo,0.24280195
499,1369,lumunas,ginto,0.2593862
499,410,lumunas,kamote,0.28164977
499,1844,lumunas,paraw,0.34898064
499,1803,lumunas,kahoy,0.2935559
499,3318,lumunas,gaodoar,0.1556116
499,942,lumunas,pulotpukyutan,0.473163
499,1787,lumunas,panghabi,0.47063103
499,634,lumunas,laman,0.3162937
499,284,lumunas,asarol,0.27004483
499,133,lumunas,habi,0.30699414
499,140,lumunas,palayan,0.2578493
499,1524,lumunas,alak,0.23955457
499,2794,lumunas,linang,0.32094806
499,225,lumunas,halo,0.2693786
499,1537,lumunas,tagulan,0.3654991
499,1075,lumunas,panghuli,0.19954574
499,3320,lumunas,silo,0.07845697
499,1342,lumunas,taginit,0.31716555
499,1276,lumunas,taglagas,0.17749903
499,1471,lumunas,taglamig,0.14166714
499,977,lumunas,palaso,0.17551424
499,1539,lumunas,bilao,0.15071252
499,994,lumunas,busog,0.23906535
499,245,lumunas,walis,0.27801067
499,677,lumunas,palakol,0.2721993
499,934,lumunas,kalabawramo,0.37701076
499,1352,lumunas,kampit,0.41529956
499,1895,lumunas,damit,0.33241838
499,945,lumunas,sibat,0.2920396
499,3321,lumunas,lanaw,0.5104826
499,3324,lumunas,bakal,0.25729242
499,3325,lumunas,perlas,0.22803539
499,730,lumunas,ahas,0.22762579
499,3154,lumunas,baboyramo,0.38343787
499,3326,lumunas,katad,0.14967021
499,1616,lumunas,kayo,0.24261889
499,1927,lumunas,kawayanspinyspecies,0.38666275
499,2680,lumunas,gulok,0.27428642
499,846,lumunas,tigre,0.22127017
24,1773,dasal,libingan,0.18229616
24,1973,dasal,demonyo,0.2519971
24,1175,dasal,multo,0.18242316
24,1252,dasal,bahay,0.1399031
24,930,dasal,nayon,0.11120327
24,1669,dasal,nuno,0.19384588
24,823,dasal,mangkukulam,0.3073582
24,1343,dasal,araw,0.28293455
24,1313,dasal,buwan,0.19419181
24,1430,dasal,bituwin,0.25475535
24,1793,dasal,kabag,0.18739124
24,937,dasal,ibon,0.1617479
24,1490,dasal,daga,0.12371528
24,2348,dasal,alimango,0.13137758
24,1350,dasal,matsing,0.12752393
24,862,dasal,asukal,0.07741999
24,2769,dasal,karnengbaboy,0.24425131
24,665,dasal,pukyutan,0.085148044
24,1100,dasal,lutu,0.10286069
24,1261,dasal,awit,0.28634056
24,1435,dasal,maghanap,0.14393346
24,354,dasal,bayo,0.16442172
24,926,dasal,bigas,0.15006918
24,1191,dasal,kanin,0.15017018
24,748,dasal,hasik,0.11129171
24,146,dasal,tubo,0.0959775
24,1369,dasal,ginto,0.12883419
24,410,dasal,kamote,0.17293741
24,1844,dasal,paraw,0.20195623
24,1803,dasal,kahoy,0.12015137
24,3318,dasal,gaodoar,0.07123466
24,942,dasal,pulotpukyutan,0.232211
24,1787,dasal,panghabi,0.1691576
24,634,dasal,laman,0.268508
24,284,dasal,asarol,0.12564576
24,133,dasal,habi,0.15923513
24,140,dasal,palayan,0.14658935
24,1524,dasal,alak,0.13351803
24,2794,dasal,linang,0.17483723
24,225,dasal,halo,0.20953448
24,1537,dasal,tagulan,0.22925805
24,1075,dasal,panghuli,0.21549661
24,3320,dasal,silo,0.0875538
24,1342,dasal,taginit,0.14068282
24,1276,dasal,taglagas,0.13372171
24,1471,dasal,taglamig,0.10516125
24,977,dasal,palaso,0.13824494
24,1539,dasal,bilao,0.10309124
24,994,dasal,busog,0.15756778
24,245,dasal,walis,0.2278224
24,677,dasal,palakol,0.14431919
24,934,dasal,kalabawramo,0.16325706
24,1352,dasal,kampit,0.32468894
24,1895,dasal,damit,0.17579535
24,945,dasal,sibat,0.11919987
24,3321,dasal,lanaw,0.23072007
24,3324,dasal,bakal,0.09896025
24,3325,dasal,perlas,0.11141252
24,730,dasal,ahas,0.1683055
24,3154,dasal,baboyramo,0.18354301
24,3326,dasal,katad,0.073928095
24,1616,dasal,kayo,0.1589811
24,1927,dasal,kawayanspinyspecies,0.24122168
24,2680,dasal,gulok,0.1611089
24,846,dasal,tigre,0.17096761
1773,1973,libingan,demonyo,0.20087779
1773,1175,libingan,multo,0.2553575
1773,1252,libingan,bahay,0.2984319
1773,930,libingan,nayon,0.23527671
1773,1669,libingan,nuno,0.21962476
1773,823,libingan,mangkukulam,0.18596186
1773,1343,libingan,araw,0.23842244
1773,1313,libingan,buwan,0.10077214
1773,1430,libingan,bituwin,0.1452935
1773,1793,libingan,kabag,0.12594663
1773,937,libingan,ibon,0.18425079
1773,1490,libingan,daga,0.14606597
1773,2348,libingan,alimango,0.16769795
1773,1350,libingan,matsing,-0.0052655563
1773,862,libingan,asukal,0.09464354
1773,2769,libingan,karnengbaboy,0.3349249
1773,665,libingan,pukyutan,0.16060874
1773,1100,libingan,lutu,0.18627147
1773,1261,libingan,awit,0.19675411
1773,1435,libingan,maghanap,0.11193015
1773,354,libingan,bayo,0.020544712
1773,926,libingan,bigas,0.11839681
1773,1191,libingan,kanin,0.15322809
1773,748,libingan,hasik,0.2030273
1773,146,libingan,tubo,0.18211748
1773,1369,libingan,ginto,0.22415039
1773,410,libingan,kamote,0.07989025
1773,1844,libingan,paraw,0.19782439
1773,1803,libingan,kahoy,0.22060654
1773,3318,libingan,gaodoar,0.077072404
1773,942,libingan,pulotpukyutan,0.27004477
1773,1787,libingan,panghabi,0.16767351
1773,634,libingan,laman,0.23977622
1773,284,libingan,asarol,0.18253294
1773,133,libingan,habi,0.14525059
1773,140,libingan,palayan,0.16918604
1773,1524,libingan,alak,0.14023265
1773,2794,libingan,linang,0.22335148
1773,225,libingan,halo,0.08543916
1773,1537,libingan,tagulan,0.16332173
1773,1075,libingan,panghuli,0.1219717
1773,3320,libingan,silo,0.10037618
1773,1342,libingan,taginit,0.14772399
1773,1276,libingan,taglagas,0.123094015
1773,1471,libingan,taglamig,0.10269634
1773,977,libingan,palaso,0.0822107
1773,1539,libingan,bilao,0.1829331
1773,994,libingan,busog,0.007028524
1773,245,libingan,walis,0.05443631
1773,677,libingan,palakol,0.17028101
1773,934,libingan,kalabawramo,0.2378316
1773,1352,libingan,kampit,0.25403753
1773,1895,libingan,damit,0.18922043
1773,945,libingan,sibat,0.14897785
1773,3321,libingan,lanaw,0.29030222
1773,3324,libingan,bakal,0.13786225
1773,3325,libingan,perlas,0.19683193
1773,730,libingan,ahas,0.20779333
1773,3154,libingan,baboyramo,0.22045025
1773,3326,libingan,katad,0.13982959
1773,1616,libingan,kayo,0.18856551
1773,1927,libingan,kawayanspinyspecies,0.23674661
1773,2680,libingan,gulok,0.23290773
1773,846,libingan,tigre,0.07453638
1973,1175,demonyo,multo,0.36418578
1973,1252,demonyo,bahay,0.15704064
1973,930,demonyo,nayon,0.16338733
1973,1669,demonyo,nuno,0.2552996
1973,823,demonyo,mangkukulam,0.33246878
1973,1343,demonyo,araw,0.15933093
1973,1313,demonyo,buwan,0.12962349
1973,1430,demonyo,bituwin,0.1713666
1973,1793,demonyo,kabag,0.13094534
1973,937,demonyo,ibon,0.22356626
1973,1490,demonyo,daga,0.19769277
1973,2348,demonyo,alimango,0.17619422
1973,1350,demonyo,matsing,0.08085429
1973,862,demonyo,asukal,0.043073837
1973,2769,demonyo,karnengbaboy,0.26640695
1973,665,demonyo,pukyutan,0.16613081
1973,1100,demonyo,lutu,0.07468551
1973,1261,demonyo,awit,0.175129
1973,1435,demonyo,maghanap,0.10540992
1973,354,demonyo,bayo,0.1041096
1973,926,demonyo,bigas,0.044930726
1973,1191,demonyo,kanin,0.07872119
1973,748,demonyo,hasik,0.16057263
1973,146,demonyo,tubo,0.10886883
1973,1369,demonyo,ginto,0.18193768
1973,410,demonyo,kamote,0.16254383
1973,1844,demonyo,paraw,0.24967629
1973,1803,demonyo,kahoy,0.16677319
1973,3318,demonyo,gaodoar,0.031883754
1973,942,demonyo,pulotpukyutan,0.24665986
1973,1787,demonyo,panghabi,0.1823073
1973,634,demonyo,laman,0.20387225
1973,284,demonyo,asarol,0.16424505
1973,133,demonyo,habi,0.11040128
1973,140,demonyo,palayan,0.143743
1973,1524,demonyo,alak,0.2443777
1973,2794,demonyo,linang,0.1667641
1973,225,demonyo,halo,0.09974274
1973,1537,demonyo,tagulan,0.13302019
